STATION,NAME,DATE,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/11/1960,,,,,,,,,0.09,0,0,,63,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/12/1960,,,,,,,,,0,0,0,,63,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/13/1960,,,,,,,,,0,0,0,,63,49,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/14/1960,,,,,,,,,0,0,0,,64,51,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/15/1960,,,,,,,,,0,0,0,,64,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/16/1960,,,,,,,,,0,0,0,,69,41,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/17/1960,,,,,,,,,0,0,0,,63,44,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/18/1960,,,,,,,,,0,0,0,,66,50,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/19/1960,,,,,,,,,0,0,0,,67,50,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/20/1960,,,,,,,,,0,0,0,,67,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/21/1960,,,,,,,,,0,0,0,,62,47,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/22/1960,,,,,,,,,0,0,0,,57,41,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/23/1960,,,,,,,,,0,0,0,,58,43,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/24/1960,,,,,,,,,0,0,0,,61,40,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/25/1960,,,,,,,,,0,0,0,,64,48,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",4/26/1960,,,,,,,,,0.4,0,0,,59,45,,,,,,,,,,,,,,,,,,1,
